,title,author,rating,publisher,page_count,generes,language
1,Antiques Roadkill: A Trash 'n' Treasures Mystery,Barbara Allan,3.3,Kensington Publishing Corp.,288,Fiction,English
2,Antiques Roadkill: A Trash 'n' Treasures Mystery,Barbara Allan,3.3,Kensington Publishing Corp.,288,Fiction,English
3,Antiques Roadkill: A Trash 'n' Treasures Mystery,Barbara Allan,3.3,Kensington Publishing Corp.,288,Fiction,English
4,Antiques Roadkill: A Trash 'n' Treasures Mystery,Barbara Allan,3.3,Kensington Publishing Corp.,288,Fiction,English
5,Antiques Roadkill: A Trash 'n' Treasures Mystery,Barbara Allan,3.3,Kensington Publishing Corp.,288,Fiction,English
6,Antiques Roadkill: A Trash 'n' Treasures Mystery,Barbara Allan,3.3,Kensington Publishing Corp.,288,Fiction,English
7,Antiques Roadkill: A Trash 'n' Treasures Mystery,Barbara Allan,3.3,Kensington Publishing Corp.,288,Fiction,English
8,Antiques Roadkill: A Trash 'n' Treasures Mystery,Barbara Allan,3.3,Kensington Publishing Corp.,288,Fiction,English
9,Antiques Roadkill: A Trash 'n' Treasures Mystery,Barbara Allan,3.3,Kensington Publishing Corp.,288,Fiction,English
10,Antiques Roadkill: A Trash 'n' Treasures Mystery,Barbara Allan,3.3,Kensington Publishing Corp.,288,Fiction,English
11,Antiques Roadkill: A Trash 'n' Treasures Mystery,Barbara Allan,3.3,Kensington Publishing Corp.,288,Fiction,English
12,Antiques Roadkill: A Trash 'n' Treasures Mystery,Barbara Allan,3.3,Kensington Publishing Corp.,288,Fiction,English
13,Antiques Roadkill: A Trash 'n' Treasures Mystery,Barbara Allan,3.3,Kensington Publishing Corp.,288,Fiction,English
14,Antiques Roadkill: A Trash 'n' Treasures Mystery,Barbara Allan,3.3,Kensington Publishing Corp.,288,Fiction,English
15,Antiques Roadkill: A Trash 'n' Treasures Mystery,Barbara Allan,3.3,Kensington Publishing Corp.,288,Fiction,English
16,Antiques Roadkill: A Trash 'n' Treasures Mystery,Barbara Allan,3.3,Kensington Publishing Corp.,288,Fiction,English
17,Antiques Roadkill: A Trash 'n' Treasures Mystery,Barbara Allan,3.3,Kensington Publishing Corp.,288,Fiction,English
18,Antiques Roadkill: A Trash 'n' Treasures Mystery,Barbara Allan,3.3,Kensington Publishing Corp.,288,Fiction,English
19,Antiques Roadkill: A Trash 'n' Treasures Mystery,Barbara Allan,3.3,Kensington Publishing Corp.,288,Fiction,English
20,Antiques Roadkill: A Trash 'n' Treasures Mystery,Barbara Allan,3.3,Kensington Publishing Corp.,288,Fiction,English
21,Antiques Roadkill: A Trash 'n' Treasures Mystery,Barbara Allan,3.3,Kensington Publishing Corp.,288,Fiction,English
22,Antiques Roadkill: A Trash 'n' Treasures Mystery,Barbara Allan,3.3,Kensington Publishing Corp.,288,Fiction,English
23,Antiques Roadkill: A Trash 'n' Treasures Mystery,Barbara Allan,3.3,Kensington Publishing Corp.,288,Fiction,English
24,Antiques Roadkill: A Trash 'n' Treasures Mystery,Barbara Allan,3.3,Kensington Publishing Corp.,288,Fiction,English
25,Antiques Roadkill: A Trash 'n' Treasures Mystery,Barbara Allan,3.3,Kensington Publishing Corp.,288,Fiction,English
26,Antiques Roadkill: A Trash 'n' Treasures Mystery,Barbara Allan,3.3,Kensington Publishing Corp.,288,Fiction,English
